Order ID,Unit Price,Production Charges,Amount,Profit,Profit Percentage,Profit and Loss,Quantity,Product Standard,Category,Sub-Category,PaymentMode
B-25681,156.57,438,1096,658,60.04%,Profit,7,Low Cost Product,Electronics,Electronic Games,COD
B-26055,409.21,5665,5729,64,1.12%,Profit,14,Mid Cost Product,Furniture,Chairs,EMI
B-25955,365.88,2781,2927,146,4.99%,Profit,8,Mid Cost Product,Furniture,Bookcases,EMI
B-26093,355.88,2135,2847,712,25.01%,Profit,8,Mid Cost Product,Electronics,Printers,Credit Card
B-25602,654.25,1466,2617,1151,43.98%,Profit,4,Mid Cost Product,Electronics,Phones,Credit Card
B-25881,561,1997,2244,247,11.01%,Profit,4,Mid Cost Product,Clothing,Trousers,Credit Card
B-25696,68.75,550,275,-275,-100.00%,Loss,4,Low Cost Product,Clothing,Saree,COD
B-25687,77.4,600,387,-213,-55.04%,Loss,5,Low Cost Product,Clothing,Saree,UPI
B-25643,25,94,50,-44,-88.00%,Loss,2,Low Cost Product,Clothing,Hankerchief,UPI
B-25851,27,189,135,-54,-40.00%,Loss,5,Low Cost Product,Clothing,Kurti,COD
B-25703,25.67,421,231,-190,-82.25%,Loss,9,Low Cost Product,Clothing,Hankerchief,COD
B-25887,354.17,2359,2125,-234,-11.01%,Loss,6,Mid Cost Product,Electronics,Printers,EMI
B-25923,645.5,4764,3873,-891,-23.01%,Loss,6,Mid Cost Product,Electronics,Phones,Credit Card
B-25756,145.8,1221,729,-492,-67.49%,Loss,5,Low Cost Product,Furniture,Bookcases,UPI
B-25761,437.6,1138,2188,1050,47.99%,Profit,5,Mid Cost Product,Furniture,Bookcases,Credit Card
B-25655,6,9,6,-3,-50.00%,Loss,1,Low Cost Product,Clothing,Hankerchief,UPI
B-25786,370.8,1421,1854,433,23.35%,Profit,5,Mid Cost Product,Furniture,Bookcases,Credit Card
B-26095,6,5,6,1,16.67%,Profit,1,Low Cost Product,Clothing,Kurti,UPI
B-25853,418.6,1372,2093,721,34.45%,Profit,5,Mid Cost Product,Furniture,Chairs,Credit Card
B-25735,3.5,8,7,-1,-14.29%,Loss,2,Low Cost Product,Clothing,Skirt,UPI
B-25910,324.4,2246,1622,-624,-38.47%,Loss,5,Low Cost Product,Furniture,Tables,Credit Card
B-25950,324.4,1527,1622,95,5.86%,Profit,5,Low Cost Product,Electronics,Printers,Credit Card
B-25744,62.17,119,373,254,68.10%,Profit,6,Low Cost Product,Electronics,Printers,UPI
B-25845,20.5,115,82,-33,-40.24%,Loss,4,Low Cost Product,Clothing,Kurti,COD
B-26001,4,6,8,2,25.00%,Profit,2,Low Cost Product,Clothing,Skirt,UPI
